Year,Month,Day,Name,Category,Landfall
1851,8,24,,0,0
1852,8,27,,0,0
1852,10,10,,0,0
1854,9,9,,0,0
1856,8,19,,0,1
1856,9,1,,0,0
1857,9,12,,2,1
1858,9,15,,0,0
1861,9,27,,1,1
1861,11,1,,1,1
1863,9,18,,0,1
1866,10,29,,0,0
1867,8,1,,0,0
1871,8,29,,0,0
1871,10,6,,0,0
1872,10,24,,0,0
1874,9,28,,0,0
1876,9,17,,1,0
1877,9,29,,0,0
1877,10,3,,0,0
1878,10,11,,0,0
1878,10,22,,2,1
1879,8,18,,3,1
1879,10,28,,0,0
1880,9,8,,1,1
1881,9,9,,0,0
1882,9,22,,0,1
1882,10,12,,0,1
1883,9,11,,1,0
1885,8,25,,1,0
1885,10,2,,0,0
1885,10,12,,0,0
1887,8,20,,1,0
1887,8,24,,0,0
1887,10,20,,0,0
1887,10,31,,0,0
1888,9,25,,0,0
1888,10,11,,0,0
1888,11,25,,0,0
1889,6,18,,0,0
1893,6,17,,0,0
1893,8,23,,0,0
1893,10,4,,0,0
1893,10,23,,0,1
1893,11,8,,0,0
1894,9,28,,0,1
1894,10,10,,0,0
1897,9,23,,0,1
1897,10,20,,0,0
1897,10,24,,0,1
1899,8,16,,3,1
1899,10,6,,0,0
1899,10,30,,0,0
1900,10,13,,0,1
1901,7,11,,1,1
1901,9,18,,0,0
1903,9,15,,0,0
1904,9,14,,0,0
1907,6,29,,0,0
1908,5,29,,1,0
1908,7,31,,1,1
1908,9,1,,0,0
1910,8,28,,0,1
1910,10,20,,0,1
1912,6,14,,0,0
1913,6,14,,1,1
1916,5,16,,0,0
1916,9,6,,0,0
1918,8,24,,1,1
1924,8,25,,1,0
1924,9,17,,0,1
1925,12,2,,0,1
1928,9,18,,0,0
1930,9,12,Santo Domingo,1,0
1932,9,15,,0,0
1933,8,22,,2,1
1933,9,15,,3,1
1934,9,8,,1,0
1936,9,17,,1,0
1937,7,31,,0,0
1938,10,24,,0,1
1942,10,12,,0,1
1944,9,14,Great Atlantic,2,0
1945,6,26,,0,1
1946,7,6,,0,0
1946,10,9,,0,0
1947,9,24,,0,0
1947,10,14,,0,0
1949,8,24,,1,0
1950,8,20,,0,0
1953,8,13,Barbara,1,1
1953,9,27,Florence,0,0
1954,8,30,Carol,2,0
1954,9,10,Edna,2,0
1954,10,15,Hazel,3,0
1955,8,12,Connie,2,1
1955,8,17,Diane,0,0
1955,9,19,Ione,2,1
1956,9,26,Flossy,0,0
1958,9,27,Helene,3,0
1960,7,29,Brenda,0,0
1960,9,12,Donna,2,1
1961,9,14,,0,0
1961,9,20,Esther,0,0
1962,8,28,Alma,0,0
1964,8,30,Cleo,0,0
1964,9,13,Dora,0,0
1964,10,16,Isbell,1,1
1965,6,16,,0,0
1966,6,11,Alma,0,0
1967,9,16,Doria,0,0
1968,6,10,Abby,0,1
1968,10,19,Gladys,1,0
1969,9,9,Gerda,0,0
1970,8,17,,0,1
1971,8,27,Doria,0,1
1971,9,30,Ginger,1,1
1972,6,21,Agnes,0,0
1975,6,28,Amy,0,0
1975,10,26,Hallie,0,0
1976,8,9,Belle,1,0
1977,9,6,Clara,0,0
1979,7,15,Bob,0,0
1979,9,5,David,0,0
1981,8,20,Dennis,0,1
1982,6,18,,0,1
1984,9,9,Diana,0,0
1984,10,12,Josephine,0,0
1985,9,26,Gloria,2,1
1985,11,22,Kate,0,0
1986,6,7,Andrew,0,0
1986,8,17,Charley,1,1
1988,8,6,Alberto,0,0
1991,8,18,Bob,2,0
1992,9,22,Danielle,0,0
1993,8,30,Emily,3,0
1995,6,5,Allison,0,0
1995,8,18,Felix,0,0
1995,9,9,Luis,0,0
1996,6,20,Arthur,0,1
1996,7,12,Bertha,2,0
1996,9,5,Fran,3,0
1996,10,7,Josephine,0,0
1998,8,26,Bonnie,2,0
1999,9,4,Dennis,0,1
1999,9,16,Floyd,2,0
1999,10,17,Irene,0,0
2001,6,14,Allison,0,0
2002,7,14,Arthur,0,0
2002,9,10,Gustav,0,0
2002,10,12,Kyle,0,0
2003,9,18,Isabel,2,1
2004,8,3,Alex,2,0
2004,8,13,Bonnie,0,0
2004,8,14,Charley,0,0
2005,9,14,Ophelia,1,0
2006,6,14,Alberto,0,0
2006,8,31,Ernesto,0,0
2007,6,3,Barry,0,1
2007,9,9,Gabrielle,0,1
2008,7,20,Cristobal,0,0
2008,9,6,Hanna,0,0
2010,9,2,Earl,1,0
2011,8,27,Irene,1,1
2012,5,30,Beryl,0,0
2012,10,27,sandy,0,0
2013,6,6,Andrea,0,0
2014,7,3,Arthur,2,1
2015,5,7,Ana,0,0
2016,6,7,Colin,0,0
2016,9,2,Hermine,0,0
2016,10,8,Matthew,1,0
